Movie_Title,Movie_ID,ListOfCertificate
Lara Croft: Tomb Raider,146316,PG-13
The Last Airbender,938283,PG
Rio 2,2357291,G
Fantastic Four: Rise of the Silver Surfer,486576,PG
Minority Report,181689,PG-13
Hulk,286716,PG-13
The Departed,407887,R
Close Encounters of the Third Kind,75860,PG
Silver Linings Playbook,1045658,R
Wonder,2543472,PG
Alvin and the Chipmunks: Chipwrecked,1615918,G
Bringing Down the House,305669,PG-13
Angels & Demons,808151,PG-13
The Wolverine,1430132,PG-13
Grown Ups 2,2191701,PG-13
Troy,332452,R
Mission: Impossible III,317919,PG-13
The Rock,117500,R
Superman,78346,PG
The Fault in Our Stars,2582846,PG-13
Life of Pi,454876,PG
Rocky III,84602,PG
The Vow,1606389,PG-13
Charlie's Angels,160127,PG-13
Lone Survivor,1091191,R
Sully,3263904,PG-13
Tomorrow Never Dies,120347,PG-13
The Truman Show,120382,PG
Erin Brockovich,195685,R
Terminator Salvation,438488,"PG-13,R"
Ocean's Twelve,349903,PG-13
Safe House,1599348,R
Mr. Deeds,280590,PG-13
Prometheus,1446714,R
Bee Movie,389790,PG
Sleepless in Seattle,108160,PG
Lucy,2872732,R
Smokey and the Bandit,76729,PG
The Legend of Tarzan,918940,PG-13
Basic Instinct,103772,R
Ford v Ferrari,1950186,PG-13
Lightyear,10298810,PG
Now You See Me,1670345,PG-13
Back to the Future Part II,96874,PG
Blades of Glory,445934,PG-13
Salt,944835,PG-13
Fahrenheit 9/11,361596,R
Hairspray,427327,PG
The Break-Up,452594,PG-13
A Series of Unfortunate Events,339291,PG
The Other Guys,1386588,PG-13
The Sum of All Fears,164184,PG-13
On Golden Pond,82846,PG
Total Recall,100802,R
Blazing Saddles,71230,R
Spy Kids 3: Game Over,338459,PG
G-Force,436339,PG
Walk the Line,358273,PG-13
One Flew Over the Cuckoo's Nest,73486,R
Twins,96320,PG
The Hangover Part III,1951261,R
Face/Off,119094,R
Spy Kids,227538,PG
Ghostbusters II,97428,PG
Dr. Dolittle 2,240462,PG
It's Complicated,1230414,R
Bad Moms,4651520,R
The Pacifier,395699,PG
The Bourne Legacy,1194173,PG-13
The Patriot,187393,R
Magic Mike,1915581,R
The Addams Family,101272,PG-13
Maleficent: Mistress of Evil,4777008,PG
Night at the Museum: Secret of the Tomb,2692250,PG
Bolt,397892,PG
Wild Wild West,120891,PG-13
Love Story,66011,"GP,PG"
GoldenEye,113189,PG-13
Miss Congeniality,212346,PG-13
300: Rise of an Empire,1253863,R
Driving Miss Daisy,97239,PG
Indecent Proposal,107211,R
Chicken Run,120630,G
Captain Phillips,1535109,PG-13
Analyze This,122933,R
Batman & Robin,118688,PG-13
Epic,848537,PG
Black Swan,947798,R
Watchmen,409459,R
A League of Their Own,104694,PG
The Angry Birds Movie,1985949,PG
Baby Driver,3890160,R
Hop,1411704,PG
Paranormal Activity,1179904,R
Pulp Fiction,110912,R
The Goodbye Girl,76095,PG
Annabelle: Creation,5140878,R
Jackass Presents: Bad Grandpa,3063516,R
The Equalizer 2,3766354,R
Butch Cassidy and the Sundance Kid,64115,"M,PG"
Mary Poppins,58331,G
The Mummy: Tomb of the Dragon Emperor,859163,PG-13
In the Line of Fire,107206,R
Daredevil,287978,"PG-13,R"
The Maze Runner,1790864,PG-13
The Conjuring 2,3065204,R
American Pie,163651,R
The Aviator,338751,PG-13
The Girl with the Dragon Tattoo,1568346,R
Murder on the Orient Express,3402236,PG-13
Pacific Rim,1663662,PG-13
Bambi,34492,G
The General's Daughter,144214,R
Christopher Robin,4575576,PG
Gnomeo & Juliet,377981,G
You Don't Mess with the Zohan,960144,PG-13
The Addams Family,1620981,PG
Die Hard with a Vengeance,112864,"M,R"
Passengers,1355644,PG-13
Parenthood,98067,PG-13
The Hunchback of Notre Dame,116583,G
Se7en,114369,R
Yogi Bear,1302067,PG
Bad Teacher,1284575,R
Edge of Tomorrow,1631867,PG-13
Casper,112642,PG
Cowboys & Aliens,409847,PG-13
Fifty Shades Freed,4477536,R
Kingsman: The Golden Circle,4649466,R
Shakespeare in Love,138097,R
Lady and the Tramp,48280,G
DC League of Super-Pets,8912936,PG
Tomorrowland,1964418,PG
America's Sweethearts,265029,PG-13
The Ten Commandments,49833,G
The Bucket List,825232,PG-13
The Fighter,964517,R
Flight,1907668,R
M3GAN,8760708,PG-13
Master and Commander: The Far Side of the World,311113,PG-13
Maid in Manhattan,252076,PG-13
Julie & Julia,1135503,PG-13
He's Just Not That Into You,1001508,PG-13
The Mask of Zorro,120746,PG-13
Saturday Night Fever,76666,"R,PG"
Flashdance,85549,R
"10,000 BC",443649,PG-13
Beverly Hills Chihuahua,1014775,PG
42,453562,PG-13
Unbreakable,217869,PG-13
The Princess Diaries 2: Royal Engagement,368933,G
The Book of Eli,1037705,R
Taken 3,2446042,PG-13
The Lone Ranger,1210819,PG-13
The Emperor's New Groove,120917,G
The Black Phone,7144666,R
Father of the Bride,101862,PG
Flightplan,408790,PG-13
"Legally Blonde 2: Red, White & Blonde",333780,PG-13
Mystic River,327056,R
Terminator Genisys,1340138,PG-13
Where the Crawdads Sing,9411972,PG-13
Space Jam,117705,PG
Get Hard,2561572,R
Planes,1691917,PG
Trading Places,86465,R
RED,1245526,PG-13
Space Cowboys,186566,PG-13
Madea Goes to Jail,1142800,PG-13
Dangerous Minds,112792,R
