Movie_Title,Movie_ID,ListOfCertificate
Broken Embraces,913425,R
Nikita,100263,R
Beirut,4669264,R
American Dreamer,86886,PG
Stop Making Sense,88178,
Celebrity,120533,R
The Three Burials of Melquiades Estrada,419294,R
Woman on Top,206420,R
Action Point,6495770,R
The Mustang,5952594,R
Simmba,7212726,
Dangerous Ground,118927,R
Sunshine,145503,R
The Love Bug,64603,G
Ghost in the Machine,107009,R
Out of Bounds,91706,R
Miller's Crossing,100150,R
Top Dog,114697,PG-13
The Treasure of the Sierra Madre,40897,
The Lover,101316,R
The Magdalene Sisters,318411,R
Rainbow Brite and the Star Stealer,89877,G
Tweeker,192704,
Girl 6,116414,R
The Driver,77474,"R,PG"
Titanic,46435,
The Playboys,105150,PG-13
The Magnificent Seven,54047,
Surf Ninjas,108258,PG
Leonard Part 6,93405,PG
Birthday Girl,188453,R
From Justin to Kelly,339034,PG
The Apparition,1433822,PG-13
Solo,117688,PG-13
Jean de Florette,91288,PG
Vamp,92147,R
20 Feet from Stardom,2396566,PG-13
The Sun Is Also a Star,6423362,PG-13
Drugstore Cowboy,97240,R
Jakob the Liar,120716,PG-13
This Is Spinal Tap,88258,R
Duets,134630,R
A Walk on the Moon,120613,R
"Grandview, U.S.A.",87359,R
Walking Tall,70895,R
Violets Are Blue...,92173,PG-13
Atlas Shrugged: Part I,480239,PG-13
Absolutely Fabulous: The Movie,2112096,R
In the Cut,199626,R
The Fall of the Roman Empire,58085,
Welcome to the Dollhouse,114906,R
Mansfield Park,178737,PG-13
My Chauffeur,91579,R
Just Visiting,189192,PG-13
The Good Mother,95238,R
Creature,88961,R
The Story of Robin Hood and His Merrie Men,45197,PG
Jason and the Argonauts,57197,G
Dinner at Eight,23948,
Little Women,24264,
Touching the Void,379557,R
Deception,800240,R
Sunset,96193,R
Little Voice,147004,R
Thirteen,328538,R
River's Edge,91860,R
Eliminators,91003,PG
The Lookout,427470,R
Dutch,101786,PG-13
Pavarotti,6964076,PG-13
Les Boys,118764,
Love in the Time of Cholera,484740,R
"Lust, Caution",808357,"NC-17,R"
The Railway Man,2058107,R
Uptown Saturday Night,72351,PG
Spartan,360009,R
The Company Men,1172991,R
Amazing Grace,4935462,G
Persepolis,808417,PG-13
Bright Star,810784,PG
Tortilla Soup,255653,PG-13
Italian for Beginners,243862,R
All Night Long,82001,R
Talk to Me,796368,R
Lantana,259393,R
Joy of Sex,87513,R
Anonymous,1521197,PG-13
Bob Roberts,103850,R
Mindhunters,297284,R
Honkytonk Man,84088,PG
Flawless,155711,R
Bound by Honor,106469,R
Curse of the Pink Panther,85384,PG
Way Down East,11841,
Road to Rio,39776,
The Boogey Man,80464,R
Love Me Tender,49452,
The Conqueror,49092,G
Suspicion,34248,
Dark Angel,99817,R
The Mean Season,89572,R
On the Line,279286,PG
Bogus,115725,PG
PCU,110759,PG-13
The Bowery,23838,
Gidget Goes to Rome,57100,
Oliver Twist,13450,
Wagons East,111653,PG-13
The Three Stooges Meet Hercules,56579,
The Thief of Bagdad,15400,
Belles on Their Toes,44410,
The Pit and the Pendulum,55304,
The Mark of Zorro,32762,
"Farewell, My Lovely",72973,R
The Bride of Frankenstein,26138,
A Star Is Born,29606,
Laura,37008,
China Cry: A True Story,101578,PG-13
The War of the Worlds,46534,G
Hot Pursuit,93215,PG-13
It Happened One Night,25316,
The Battle of Britain,64072,G
Greenberg,1234654,R
Roadie,81433,PG
Detroit Rock City,165710,R
The Book of Henry,4572792,PG-13
Before Night Falls,247196,R
The Lunchbox,2350496,PG
Ae Dil Hai Mushkil,4559006,
Flash of Genius,1054588,PG-13
Left Behind: The Movie,190524,"PG-13,R"
Until September,88330,R
Men with Brooms,263734,R
Kiss Kiss Bang Bang,373469,R
Police Academy 5: Assignment: Miami Beach,95882,PG
"Jeff, Who Lives at Home",1588334,R
Mr. Nanny,107612,PG
"Easy Come, Easy Go",61610,PG
45 Years,3544082,R
Le Dîner de Cons,119038,PG-13
The Gospel of John,377992,PG-13
Denial,4645330,PG-13
Impromptu,102103,PG-13
The Hero,5655222,R
That's Life!,92079,PG-13
Sleuth,69281,PG
Big Bully,115676,PG
Tie Me Up! Tie Me Down!,101026,R
This Boy's Life,108330,R
Caprice,61447,
Man Trouble,104804,PG-13
Restoration,114272,R
Life Stinks,102303,PG-13
Life Itself,5989218,R
The Raid: Redemption,1899353,R
Godzilla 1985,87344,PG
Kama Sutra: A Tale of Love,116743,R
Tank Girl,114614,R
My Science Project,89652,PG
Heart Condition,99750,R
Witless Protection,1001562,PG-13
Fluke,113089,PG
The Pebble and the Penguin,114108,G
"Welcome Home, Roxy Carmichael",100911,PG-13
Ingagi,164686,
P2,804516,R
Meet Wally Sparks,119644,R
Gordy,113199,G
Badman's Territory,38321,
Dillinger,37644,
Buck Privates,33436,
Sparkle,75249,PG
Rock Around the Clock,49682,
Blood Feast,56875,
Jailhouse Rock,50556,
American Ninja 2: The Confrontation,92548,R
Cat People,34587,
The Adventures of Robin Hood,29843,PG
Shame,1723811,NC-17
Willy Wonka & the Chocolate Factory,67992,G
Ladrón que roba a ladrón,859760,PG-13
Ida,2718492,PG-13
Yeh Jawaani Hai Deewani,2178470,
North Shore,93648,PG
The Door in the Floor,348593,R
Feds,95145,PG-13
Ruby Gentry,45109,
Sleight,4573516,R
Babes on Broadway,34485,
The Heavenly Kid,89265,PG-13
Getting Straight,65775,R
Flashpoint,87268,R
The Thin Man Goes Home,37365,
Top Hat,27125,
The Man Who Knew Infinity,787524,PG-13
Damien: Omen II,77394,R
The Spanish Apartment,283900,R
"Lock, Stock and Two Smoking Barrels",120735,R
Me and You and Everyone We Know,415978,R
The Governess,120687,R
Liberty Heights,165859,R
Then She Found Me,455805,R
Exterminator 2,87229,R
The Phantom of the Opera,16220,
A Monster Calls,3416532,PG-13
Allan Quatermain and the Lost City of Gold,92534,PG
Imagine: John Lennon,95360,R
Mannequin: On the Move,102395,PG
The Cold Light of Day,1366365,PG-13
Default,1871257,
Vera Drake,383694,R
The Keep,85780,R
Portrait of a Lady on Fire,8613070,R
Friend Request,3352390,R
Anomalisa,2401878,R
Fading Gigolo,2258345,R
The Merchant of Venice,379889,R
The Class,1068646,PG-13
White Man's Burden,114928,R
The Trigger Effect,117965,R
Calvary,2234003,R
Turk 182,90217,PG-13
Their Finest,1661275,R
Om Shanti Om,1024943,
A la mala,4357170,PG-13
Phoenix Forgotten,6574272,PG-13
Night and the City,42788,
The Pest,119887,PG-13
The Bride,88851,PG-13
Across 110th Street,68168,R
Bug,72750,PG
Mission Mangal,9248972,
My Heroes Have Always Been Cowboys,102493,PG
Table 19,1412528,PG-13
Spare Parts,3233418,PG-13
Caché (Hidden),387898,R
Stay,371257,R
Requiem for a Dream,180093,R
The Chorus,372824,PG-13
Rules Don't Apply,1974420,PG-13
Cabin Boy,109361,PG-13
Scouts Guide to the Zombie Apocalypse,1727776,R
Mommy,3612616,R
An Inconvenient Sequel: Truth to Power,6322922,PG
Chhalawa,10125662,
Happy-Go-Lucky,1045670,R
Coney Island,35749,
Casanova's Big Night,46834,
East Side Sushi,2340650,PG
Devdas,238936,
The Moon-Spinners,58371,"PG,G"
The Ballad of Cable Hogue,65446,R
The Big Blue,95250,"R,PG"
The Wraith,92240,"PG-13,R"
Feast of Love,800027,R
The Oscar Nominated Short Films 2018: Live Action,7935892,R
BTS World Tour: Love Yourself in Seoul,9448868,
Rangasthalam 1985,7392212,
Indivisible,6512428,PG-13
Claudine,71334,PG
The Good Thief,281820,R
Free Willy 3: The Rescue,119152,PG
The Brothers Bloom,844286,PG-13
Nitro Circus: The Movie,1815852,PG-13
Bud Abbott and Lou Costello Meet the Invisible Man,43255,
Wrong Is Right,84920,R
The Hero: Love Story of a Spy,347167,
Next Stop Wonderland,119778,R
Born American,91313,R
Big Shots,92655,PG-13
Fireflies in the Garden,961108,R
Head Office,91183,PG-13
The Lords of Flatbush,71772,PG
Indignation,4193394,R
Sweet Rosie O'Grady,36406,
"Hello Frisco, Hello",35982,
Cruising Bar,97131,R
The Grand Seduction,2319580,PG-13
Born Into Brothels: Calcutta's Red Light Kids,388789,R
Gunmen,109959,R
Kinjite: Forbidden Subjects,97670,R
Like Crazy,1758692,PG-13
Kabhi Alvida Naa Kehna,449999,
Romeo Is Bleeding,107983,R
Rize,436724,PG-13
Looker,82677,PG
Wish You Were Here,94331,R
Things We Lost in the Fire,469623,R
Thirteen Conversations About One Thing,268690,R
Exit Through the Gift Shop,1587707,R
Pootie Tang,258038,PG-13
Siempre felices,102924,
Art School Confidential,364955,R
Rockets' Red Glare,261959,
Happily Ever After,99733,G
The Private Life of Sherlock Holmes,66249,"PG-13,GP"
The MacKintosh Man,70351,PG
Stand Up Guys,1389096,R
Avanti!,68240,R
Ghost Dog: The Way of the Samurai,165798,R
The Limey,165854,R
Carpool,115836,PG
Last Ounce of Courage,2359137,PG
The Last Detail,70290,R
Vertigo,52357,PG
Anything Else,313792,R
One Planet: Save It,15721450,
Pi,138704,R
Another Year,1431181,PG-13
The Cat's Meow,266391,PG-13
Traces of Red,105631,R
Barfly,92618,R
Green Room,4062536,R
Water,240200,PG-13
Lost and Found,79486,PG
"Race for Your Life, Charlie Brown",76591,G
The Mermaid,4701660,R
The Leisure Seeker,3741632,R
Catfish,1584016,PG-13
Sing Street,3544112,PG-13
Carrington,112637,R
The Reincarnation of Peter Proud,73615,R
Tous les matins du monde,103110,
The Ex,458364,PG-13
A3,103604,
Celeste & Jesse Forever,1405365,R
Welcome Danger,20572,
The Last House on the Left,68833,R
The Legend of Billie Jean,89470,"PG-13,R"
Sounder,69303,G
Supercross,403016,PG-13
Soul Survivors,218619,"PG-13,R"
Feeling Minnesota,116289,R
Blame It on the Bellboy,103827,PG-13
Wild Tales,3011894,R
K2,102178,R
Compadres,3367294,R
Zindagi Na Milegi Dobara,1562872,
Asterix & Obelix: Mission Cleopatra,250223,PG
Night of the Demons,93624,R
Boynton Beach Club,439478,R
White Mischief,94317,R
Hanover Street,79268,PG
Blacula,68284,PG
Forbidden Planet,49223,G
The Sicilian Clan,64169,GP
The Fly,51622,
Maiden,8879946,PG
Original Gangstas,117260,R
G,291928,R
Albert Nobbs,1602098,R
From Prada to Nada,893412,PG-13
Colossal,4680182,R
Ingrid Goes West,5962210,R
The Golden Voyage of Sinbad,71569,G
Whitney,5740866,R
Hedwig and the Angry Inch,248845,R
Buck and the Preacher,68323,GP
Melancholia,1527186,R
Princess Caraboo,110892,PG
The Guru,280720,R
The Golden Bowl,200669,R
The Last Days of Disco,120728,R
China Moon,109417,R
The House of Mirth,200720,PG
Kabhi Khushi Kabhie Gham...,248126,
Waking Life,243017,R
Cradle Will Rock,150216,R
Sleeper,70707,PG
Homework,84084,R
Tsotsi,468565,R
Crimes of Passion,87100,R
Waiting for Guffman,118111,R
This Is My Life,105577,"PG-13,R"
Veer Zaara,420332,
Up at the Villa,153464,PG-13
Choke,1024715,R
The Beatles: Eight Days a Week - The Touring Years,2531318,
Joan Rivers: A Piece of Work,1568150,R
The Judas Project,107284,PG-13
976-EVIL,94597,R
Metropolitan,100142,PG-13
Gracie,441007,PG-13
The Pirate,40694,
Love Stinks,188863,R
Three on a Couch,61093,
Man on Wire,1155592,PG-13
Barfi!,2082197,
My Brother's Wife,463345,R
Citizenfour,4044364,R
Loving Couples,81080,PG
Happiness,147612,NC-17
Map of the Human Heart,104812,R
Newsies,104990,PG
Return to the Blue Lagoon,102782,PG-13
Yor: The Hunter from the Future,84935,PG
The Identical,2326574,PG
Monsieur Ibrahim,329388,R
Sid and Nancy,91954,R
The Fluffy Movie: Unity Through Laughter,3532608,PG-13
The Power of One,105159,PG-13
Disney's Newsies: The Broadway Musical!,6346162,PG
Clifford's Really Big Movie,398872,G
Three Little Words,43044,
Is Genesis History?,6360332,
Thoroughbreds,5649108,R
The Great White Hope,65797,"PG-13,GP"
Youth,3312830,R
Half Nelson,468489,R
Call Me Mister,43370,
Six Reasons Why,1202044,R
Deceptions,193082,
The Allnighter,92537,PG-13
The Blue Dahlia,38369,
The Show,114435,R
The Way Back,1023114,PG-13
Talaash: The Answer Lies Within,1787988,
Chéri,1179258,R
The History Boys,464049,R
Everything Must Go,1531663,R
Walk on Water,352994,R
The Good Lie,2652092,PG-13
Wolf Warrior 2,7131870,
Fancy Pants,42447,G
The Sweet Ride,63662,R
The Yellow Cab Man,43150,
Richard III,114279,R
Blume in Love,69808,R
Under the Skin,1441395,R
Raise the Red Lantern,101640,PG
Meet Me After the Show,43795,
Miles Ahead,790770,R
The Care Bears Adventure in Wonderland,92723,G
The Innocents,55018,
Kapoor & Sons,4900716,
Snow White and the Three Stooges,55458,PG
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,45469,
The Haunted Palace,57128,
The Haunting,57129,G
Burnt by the Sun,111579,R
One Night Stand,119832,R
Saaho,6836936,
Grace Unplugged,2349460,PG
Marie,89555,PG-13
Reform School Girls,91836,R
Frozen River,978759,R
Ra.One,1562871,
The Sum of Us,111309,R
Dabangg 2,2112131,
Aces: Iron Eagle III,103617,R
Streets of Gold,92022,R
You Were Never Really Here,5742374,R
A Private Function,89838,R
The Dreamers,309987,"NC-17,R"
Pieces of April,311648,PG-13
Do It Like An Hombre,6046212,R
Sin Nombre,1127715,R
The Hot Rock,68718,"GP,PG"
A Night at the Opera,26778,
Treasure Island,25907,
Man on the Train,301414,R
Ruby Sparks,1839492,R
Kansas,95428,R
Mandingo,73349,R
Stranger Than Paradise,88184,R
Never Let Me Go,1334260,R
Pawn Sacrifice,1596345,PG-13
THX 1138,66434,"R,GP"
Table for Five,86405,PG
The Man Who Wasn't There,85892,R
Afterglow,118566,R
The Men's Club,91508,R
The Hand,82497,R
The Sapphires,1673697,PG-13
The Endurance,264578,G
My Beautiful Laundrette,91578,R
Class of 1999,99277,R
Kill the Messenger,1216491,R
Son of the Pink Panther,108187,PG
Foxy Brown,71517,R
S*P*Y*S,72107,PG
Kick,2372222,
"Spring, Summer, Fall, Winter... and Spring",374546,R
Love Crimes,102340,R
Hearts Beat Loud,7158430,PG-13
After We Collided,10362466,R
In the Loop,1226774,
Dangerously Close,90904,R
Backbeat,106339,R
Kalifornia,107302,R
The Condemned of Altona,56468,
Peking Express,43912,
Roxie Hart,35272,
Les Miserables,44907,
Ding et Dong le film,99432,
The Wolves,114973,PG-13
Little Old New York,14205,
Club Fed,99280,PG-13
T2 Trainspotting,2763304,R
The Evil Dead,83907,NC-17
The Queen of Versailles,2125666,PG
I'm in Love with a Church Girl,1618432,PG
The Salesman,5186714,PG-13
Pokémon the Movie: I Choose You!,6595896,PG
At Eternity's Gate,6938828,PG-13
Sky Bandits,91963,PG
Buster and Billie,71258,R
Sign of the Times,193506,
To the Shores of Tripoli,35447,
Shanghai Triad,115012,R
Medicine Bow,6098694,
The Day of the Dolphin,69946,PG
42nd Street,24034,
Ode to My Father,3812366,
Hav Plenty,126938,R
Merry Christmas Mr. Lawrence,85933,R
"Play It Again, Sam",69097,PG
A Good Man in Africa,109920,R
WARx2,3695244,PG-13
Shanghai Surprise,91934,PG-13
"Man, Woman and Child",85895,PG
The Pillow Book,114134,
White Hunter Black Heart,100928,PG
Chocolat,94868,PG-13
DysFunktional Family,337996,R
Trance,1924429,R
Rabbit Hole,935075,PG-13
Jeepers Creepers III,1139592,
The Squeeze,94021,PG-13
Vincent & Theo,100873,PG-13
The Illusionist,775489,PG
Touch of Evil,52311,PG-13
Tod@s caen,7549776,PG-13
Love Is Strange,2639344,R
My Best Girl,18183,
The Objective,962711,
A Aa,5684466,
My All-American,3719896,PG
Ball & Chain,315206,PG-13
The Dish,205873,PG-13
Sing,98335,PG-13
Gilda Live,80790,R
Leprechaun 2,110329,R
Flamingo Road,41373,
Sleepwalk with Me,2077851,PG-13
Wilde,120514,R
The Miniver Story,42735,
Total Dhamaal,7639372,
Tarzan Finds a Son!,32007,
Nearing Grace,406097,R
Tarzan and the Lost City,120856,PG
Words and Pictures,2380331,PG-13
Dance with a Stranger,88987,R
Wild Bill,114938,R
Tarzan's Greatest Adventure,53334,
The Fall of the American Empire,7231342,R
Nine Hours to Rama,57362,
The Three Stooges Go Around the World in a Daze,57580,
Sadie Thompson,19344,
Intolerance,6864,
"Paris, Texas",87884,R
Bird,94747,R
Scream Blacula Scream,70656,PG
Sweet November,63661,
A Prophet,1235166,R
Butterfly,188030,R
The Sea Inside,369702,PG-13
Just Tell Me What You Want,80975,R
Soldier in the Rain,57517,
Guru,499375,
Zero Effect,120906,R
State Property,301893,R
King Richard and the Crusaders,47150,
Fanaa,439662,
Kika,107315,
Kuch Kuch Hota Hai,172684,
Reflections in a Golden Eye,62185,
Eating,99480,R
Faithful,116269,R
Death and the Maiden,109579,R
Gloria,2425486,R
Intimate Strangers,363532,R
Re-Animator,89885,
Winter People,98659,PG-13
Is Anybody There?,1130088,PG-13
Good Time,4846232,R
This Is Elvis,83193,PG
Puzzle,6933454,R
Besieged,149723,R
The Work and the Glory II: American Zion,457530,PG-13
Pieces,82748,
Gate 2: The Trespassers,99636,R
Snowriders,117677,
Mom and Dad Save the World,104905,PG
I Love You Phillip Morris,1045772,R
We Don't Live Here Anymore,361309,R
Novocaine,234354,R
Crash,115964,"NC-17,R"
Wabash Avenue,43116,
El Mariachi,104815,R
Rooftops,98222,R
Badrinath Ki Dulhania,6277440,
Orchestra Seats,444112,PG-13
Date with an Angel,92834,PG
Killer Joe,1726669,"NC-17,R"
Tarzan and the Lost Safari,51057,
Married to It,107523,R
Limbo,164085,R
The Double Life of Véronique,101765,R
Naomi's Web,243441,
One in a Million,28063,
Emma,22854,
Sharks' Treasure,73695,PG
I Was a Teenage Werewolf,50530,
Killer McCoy,39531,
Wilson,37465,
Return of the Secaucus Seven,81420,R
...And God Created Woman,49189,PG
Can't Stop the Music,80492,PG
Life Happens,1726589,R
Dillinger,69976,R
Stella Dallas,29608,
Marriage Story,7653254,R
Old Fashioned,2048824,PG-13
The Merry Widow,16104,
Warning Sign,90293,R
Shin Godzilla,4262980,
Communion,97100,R
Titus,120866,R
Paradise Road,119859,R
Don Juan,16804,
Goodbye Lover,119219,R
The Tenant,74811,R
High Art,139362,R
The Curse,92809,R
Without a Stitch,63732,R
Erik the Viking,97289,PG-13
Spellbinder,96152,R
Swiss Family Robinson,33124,
The Iceman,1491044,R
A Man Called Horse,66049,"M,GP,R"
Neil Young: Heart of Gold,473692,PG
Rudo y Cursi,405393,R
Desierto,3147312,R
The Wind that Shakes the Barley,460989,
"Kiss Me, Guido",119465,R
The White Crow,5460858,R
Poison Ivy,105156,R
Crooked Arrows,1954352,PG-13
Toilet: A Love Story,5785170,
The Paper Chase,70509,PG
Heavenly Bodies,87399,R
Henry Poole Is Here,1029120,PG
Lady in a Cage,58283,
Harrison's Flowers,216799,R
Roman de gare,889652,R
Badla,8130968,
Bitter Moon,104779,R
A Quiet Passion,2392830,PG-13
The Mighty Macs,1034324,G
Cookie,97109,R
Baby It's You,85208,R
Legend,3569230,R
The Kiss,95454,R
Broken Lullaby,22725,
Working Girls,92238,
I Like It Like That,110091,R
Too Beautiful for You,98520,R
The Nutcracker Prince,100281,G
The Dangerous Lives of Altar Boys,238924,R
Son of Saul,3808342,R
The Mangler,113762,R
Luce,7616148,R
M.S. Dhoni: The Untold Story,4169250,
The Last Word,5023260,R
Kal Ho Naa Ho,347304,
Son of Rambow,845046,PG-13
Stone,1423995,R
King of the Mountain,82619,PG
Stormy Monday,96180,R
Clay Pigeons,118863,R
Tune in Tomorrow...,100822,PG-13
Delicatessen,101700,R
Fill the Void,2219514,PG
Life After Love,211103,
Main Hoon Na,347473,
Find a Boyfriend for My Wife... PLEASE!,5321942,PG-13
Stryker,86381,R
The Other Side of Heaven 2: Fire of Faith,8174450,PG-13
The Waterdance,105789,R
Jane,7207238,PG
Cutter's Way,82220,R
Koyaanisqatsi,85809,
Pokemon 4Ever: Celebi - Voice of the Forest,287635,G
Coco Chanel & Igor Stravinsky,1023441,R
Five on the Black Hand Side,70063,PG
Take Shelter,1675192,R
Every Little Step,977648,PG-13
The Dreamlife of Angels,120449,R
The Rosary Murders,93881,R
Last Exit to Brooklyn,97714,R
Little Nikita,95532,PG
Barbarosa,83619,PG
The Big Town,92656,R
Billy Lynn's Long Halftime Walk,2513074,R
Look at Me,374583,PG-13
Goodbye Christopher Robin,1653665,PG
Pad Man,7218518,PG-13
Capone,72761,R
Talento de barrio,467017,R
The Invisible Man's Revenge,36959,
Un Coeur en Hiver,105682,
The White Countess,384686,PG-13
Plaza Suite,67589,"PG-13,GP"
"The Book of Mormon Movie, Volume 1: The Journey",349159,"PG-13,PG"
Who Killed the Electric Car?,489037,PG
State Property: Blood on the Streets,403537,R
English Vinglish,2181931,
Slamma Jamma,5319866,PG
Matewan,93509,PG-13
Tango,120274,PG-13
El vacilón: The Movie,428003,R
Body Rock,86985,PG-13
Quinceañera,451176,R
Meet the Patels,2378401,PG
Tales from the Crypt,69341,PG
Race 3,7431594,
Suicide Kings,120241,R
The Rain Killer,102750,R
Unfinished Song,1047011,PG-13
Equity,3958780,R
It Might Get Loud,1229360,PG
Cairo Time,896529,PG
Kites,1198101,
Blondie of the Follies,22700,
Safe Passage,111054,PG-13
Flesh and the Devil,16884,
Wide Sargasso Sea,108565,"NC-17,R"
Weiner,5278596,R
Senna,1424432,PG-13
I'm Not Scared,326977,R
The Aftermath,5977276,R
Potiche,1521848,R
Keeping Mum,444653,R
Silence of the North,83079,PG
Road to Morocco,35262,
Love Is All You Need,1854236,R
Camp,342167,PG-13
Gun Shy,171356,R
Bhaag Milkha Bhaag,2356180,
Brain Dead,99173,R
Late Marriage,287471,
Ararat,273435,R
A Boy Called Po,1401621,PG
The Kid Brother,18051,
"Bless Me, Ultima",1390398,PG-13
Truly Madly Deeply,103129,PG
A Handful of Dust,95274,PG
The Son of the Sheik,17416,
A Late Quartet,1226240,R
Juggernaut,71706,PG
Extreme Job,9541602,
Another Woman,94663,PG
Dookudu,1756476,
Oopiri,5039054,
Hamlet,171359,R
Thirty Two Short Films About Glenn Gould,108328,
The Organization,67535,"PG-13,GP"
King of the Airways,110390,
Company Business,101606,PG-13
The Celluloid Closet,112651,R
Housefull 2,1980986,
The Square,4995790,R
The Tale of The Princess Kaguya,2576852,PG
Married Life,804505,PG-13
The Kid,4975920,R
The Double Hour,1379222,
Streets,100707,R
Jane Got a Gun,2140037,R
Let the Good Times Roll,143367,PG
Bill Cunningham: New York,1621444,
The City of Lost Children,112682,R
Leaving Normal,104697,R
Finding Vivian Maier,2714900,
Life Is Sweet,100024,R
"I, the Jury",84112,R
Kon-Tiki,1613750,PG-13
Phantom of the Rue Morgue,47348,
Escape from Fort Bravo,45737,
Ernest Rides Again,106827,PG
Pascali's Island,95827,PG-13
Under the Sand,240913,
Paradise Now,445620,PG-13
Hell Up in Harlem,70169,R
Oscar and Lucinda,119843,R
The Gorgeous Hussy,27690,
Flesh Gordon,68595,"R,X"
Birdy,86969,R
Mister Johnson,102458,PG-13
Three Colors: White,111507,R
Finders Keepers,87260,R
Zebrahead,105885,R
Endangered Species,83885,R
Clockwise,90852,PG
The Diary of a Teenage Girl,3172532,R
The Joneses,1285309,R
Where Angels Fear to Tread,103243,PG
The War Between Men and Women,69483,PG
Wonder Wheel,5825380,PG-13
Paheli,451850,
Lovers: A True Story,101317,R
I've Heard the Mermaids Singing,93239,R
The Notorious Bettie Page,404802,R
99 Homes,2891174,R
Salaam Namaste,456165,
Marley,1183919,PG-13
Escape from the Bronx,89104,R
That Lady in Ermine,40869,
The Field,99566,PG-13
Mr. Six,4701702,PG-13
I Am a Fugitive from a Chain Gang,23042,
Monsieur Hire,97904,PG-13
Piñero,261066,R
Finding Your Feet,4538916,PG-13
Born to Ski,103862,
Northfork,322659,PG-13
My Best Friend,778784,PG-13
Joshua,271582,G
Death Machine,109575,R
Noah's Ark,20223,
Race,1017456,
Little Nemo: Adventures in Slumberland,104740,G
I'm So Excited!,2243389,R
Armed Response,90659,R
Cromwell,65593,G
Kelly's Heroes,65938,GP
Everybody Wins,99520,R
AC/DC: Let There Be Rock,80321,PG
Girl Most Likely,1698648,PG-13
Daddy's Dyin'... Who's Got the Will?,99342,PG-13
South Central,105450,R
Andhadhun,8108198,
Little Women,6495094,PG-13
In God's Hands,140282,PG-13
Certain Fury,88895,R
A Woman of Paris: A Drama of Fate,14624,
Book of Love,99166,"PG-13,R"
Midnight Crossing,95629,R
The Bookshop,3127022,PG
Chasing Ice,1579361,PG-13
The Emperor and the Assassin,162866,R
Embrace of the Serpent,4285496,
Restrepo,1559549,R
The Past,2404461,PG-13
"It's Not You, It's Me",1421046,PG-13
Baraka,103767,
The Navigator: A Medieval Odyssey,95709,PG
Kotch,67314,"GP,PG"
The Neon Demon,1974419,R
The Perils of Gwendoline in the Land of the Yik Yak,87903,R
The Whales of August,94315,
Certified Copy,1020773,
GoBots: Battle of the Rock Lords,91123,G
Henry Fool,122529,R
102 Not Out,6580564,PG
A Dirty Shame,365125,"NC-17,R"
The Little Prince,1754656,PG
Wetherby,90310,R
King of the Hill,107322,PG-13
Chonda Pierce: Laughing in the Dark,4841688,
Flame and the Flesh,46982,
A Man Called... Rainbo,100101,
Tanganyika,47556,
Jubilee Trail,47137,
Red Garters,47400,
Rhapsody,47408,
The Tango Lesson,120275,PG
Commandos Strike at Dawn,35746,
Crossfire,39286,
Creature from the Black Lagoon,46876,G
Paris Blues,55278,
Native Son,91613,PG
Sylvia,325055,R
The Wolfpack,2415458,R
The Christmas Tree,64037,G
Lost in Hong Kong,4242158,
Never Look Away,5311542,R
The Seagull,4682136,PG-13
The Best Intentions,104350,
Tristram Shandy,423409,R
Touch and Go,92104,R
The Abandoned,475937,R
"Olivier, Olivier",102583,R
I Love My Wife,65871,R
Water,90297,PG-13
McQueen,6510332,R
From Beyond,91083,R
Micmacs,1149361,R
China Girl,92751,R
Harry and Tonto,71598,R
Little Vera,95574,
Eddie Macon's Run,85473,PG
Hideous Kinky,136244,R
Night Watch,70444,PG
Phat Beach,117332,R
City of Hope,101588,R
Roger Dodger,299117,R
Maria By Callas,7364566,PG
The Lonely Lady,85863,R
High Life,4827558,R
Swades,367110,
Patty Hearst,95836,R
Vital Signs,100879,R
Like Stars on Earth,986264,PG
Main Prem Ki Diwani Hoon,265148,
The Funeral,116378,R
Elephant,363589,R
Monty Python and the Holy Grail,71853,PG
Toto the Hero,103105,PG-13
Steve McQueen: American Icon,7424358,
Slacker,102943,R
Beyond the Mask,2433040,PG
Peninsula,8850222,
Metallica: Some Kind of Monster,387412,
Friendship,1185420,
The Sense of an Ending,4827986,PG-13
Singham Returns,2309764,
"Tick, Tick, Tick",65360,G
The Invisible Woman,1700845,R
The Icicle Thief,97702,
Godspell,70121,G
Sammy and Rosie Get Laid,93913,
Lady Whirlwind,69380,R
District B13,414852,R
Headhunters,1614989,R
L'homme idéal,116554,
Lights of New York,19096,
Manslaughter,13372,
33 & Beyond: The Royal Art of Freemasonry,5265492,
The Last Time I Saw Archie,55074,
Emanuel,5948944,
Jesse James,18038,
"Invasion, U.S.A.",44750,
As Good as Dead,1294136,R
The Serpent,6984230,
Cousin Bette,118894,R
Get Real,162973,R
Nightwatch,119791,R
Along With the Gods: The Last 49 Days,8116428,
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest",1613023,R
Flawless,780516,PG-13
Romeo & Juliet,1645131,PG-13
American Movie,181288,R
The Other Son,2073016,PG-13
To Sleep with Anger,100791,PG
The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,3549206,PG-13
The Flower of My Secret,113083,R
Miss You Already,2245003,PG-13
The Best Two Years,377038,PG
Lean on Pete,5340300,R
Housefull,1573072,
The Lords of Salem,1731697,R
Night School,82812,R
Black Sea,2261331,R
Permanent Midnight,120788,R
